Question,Answer
What is EMI?,EMI (Equated Monthly Installment) is a fixed monthly payment you make to repay a loan. It includes both principal and interest.
How is EMI calculated?,"EMI = P × r × (1+r)^n / ((1+r)^n - 1), where P is principal, r is monthly interest rate, and n is number of months."
What is SIP?,SIP (Systematic Investment Plan) lets you invest a fixed amount monthly in mutual funds. It helps in rupee cost averaging and wealth creation over time.
How much emergency fund should I have?,Financial advisors recommend keeping 3-6 months of monthly expenses as an emergency fund in a liquid savings account.
What is a credit score?,A credit score is a 3-digit number (300-900) that represents your creditworthiness. A score above 750 is considered good for loan approvals.
How can I improve my credit score?,"Pay EMIs and credit card bills on time, keep credit utilization below 30%, avoid multiple loan applications, and maintain a healthy credit mix."
What is 80C deduction?,"Section 80C allows tax deduction up to Rs 1.5 lakh on investments like PPF, ELSS, LIC premium, and EPF contributions."
How does SIP return work?,"SIP returns use compound interest. FV = P × [(1+r)^n - 1] / r × (1+r), where P is monthly SIP, r is monthly return rate, n is months."
What is term insurance?,"Term insurance provides life cover for a fixed period. If the insured dies during the term, the nominee receives the sum assured. It is the most affordable life insurance."
What is the difference between savings and current account?,Savings accounts earn interest (2-6% p.a.) and are for individuals. Current accounts offer no interest but unlimited transactions and are used by businesses.
What is NPS?,NPS (National Pension System) is a government pension scheme. Contributions grow tax-free and you receive a monthly pension after retirement.
How do I calculate my savings goal?,Use FV = PV × (1+r)^n to find how much you need to save. Alternatively work backwards from your target corpus to find monthly SIP needed.
What is repo rate?,"Repo rate is the rate at which RBI lends money to commercial banks. When repo rate increases, home loan and EMI rates also tend to increase."
What is inflation and how does it affect me?,"Inflation is the rate at which prices rise over time. If inflation is 6% and your savings earn 4%, your real returns are negative. Invest to beat inflation."
What is ELSS?,ELSS (Equity Linked Savings Scheme) is a tax-saving mutual fund with a 3-year lock-in period. It qualifies for 80C deduction and offers market-linked returns.
How much should I invest monthly?,"The 50-30-20 rule: 50% on needs, 30% on wants, 20% on savings and investments. Adjust based on your financial goals and income."
What is PPF?,"PPF (Public Provident Fund) is a government-backed savings scheme with 15-year tenure, tax-free interest (~7.1% p.a.), and 80C deduction benefit."
What happens if I miss an EMI?,"Missing an EMI attracts a late payment fee (1-2%), increases outstanding interest, negatively impacts your credit score, and may lead to loan default proceedings."
What is a mutual fund?,"A mutual fund pools money from many investors and invests in stocks, bonds, or other assets. Professional fund managers manage the portfolio for a small fee."
What is the best way to save for retirement?,"Start early, invest in equity-heavy funds when young, shift to debt gradually as you age. Use NPS and PPF for tax benefits. Aim to save 15-20% of income."
